"Month","Day","Temp","variable","value"
9,12,76,"Ozone",21
9,12,76,"Solar.R",259
9,12,76,"Wind",15.5
9,13,77,"Ozone",28
9,13,77,"Solar.R",238
9,13,77,"Wind",6.3
9,14,71,"Ozone",9
9,14,71,"Solar.R",24
9,14,71,"Wind",10.9
9,15,71,"Ozone",13
9,15,71,"Solar.R",112
9,15,71,"Wind",11.5
9,16,78,"Ozone",46
9,16,78,"Solar.R",237
9,16,78,"Wind",6.9
9,17,67,"Ozone",18
9,17,67,"Solar.R",224
9,17,67,"Wind",13.8
9,18,76,"Ozone",13
9,18,76,"Solar.R",27
9,18,76,"Wind",10.3
9,19,68,"Ozone",24
9,19,68,"Solar.R",238
9,19,68,"Wind",10.3
9,20,82,"Ozone",16
9,20,82,"Solar.R",201
9,20,82,"Wind",8
9,21,64,"Ozone",13
9,21,64,"Solar.R",238
9,21,64,"Wind",12.6
9,22,71,"Ozone",23
9,22,71,"Solar.R",14
9,22,71,"Wind",9.2
9,23,81,"Ozone",36
9,23,81,"Solar.R",139
9,23,81,"Wind",10.3
9,24,69,"Ozone",7
9,24,69,"Solar.R",49
9,24,69,"Wind",10.3
9,25,63,"Ozone",14
9,25,63,"Solar.R",20
9,25,63,"Wind",16.6
9,26,70,"Ozone",30
9,26,70,"Solar.R",193
9,26,70,"Wind",6.9
9,27,77,"Solar.R",145
9,27,77,"Wind",13.2
9,28,75,"Ozone",14
9,28,75,"Solar.R",191
9,28,75,"Wind",14.3
9,29,76,"Ozone",18
9,29,76,"Solar.R",131
9,29,76,"Wind",8
9,30,68,"Ozone",20
9,30,68,"Solar.R",223
9,30,68,"Wind",11.5
