"Month","Day","Temp","Wind","variable","value"
7,14,91,14.9,"Solar.R",291
7,15,80,14.3,"Ozone",7
7,15,80,14.3,"Solar.R",48
7,16,81,6.9,"Ozone",48
7,16,81,6.9,"Solar.R",260
7,17,82,10.3,"Ozone",35
7,17,82,10.3,"Solar.R",274
7,18,84,6.3,"Ozone",61
7,18,84,6.3,"Solar.R",285
7,19,87,5.1,"Ozone",79
7,19,87,5.1,"Solar.R",187
7,20,85,11.5,"Ozone",63
7,20,85,11.5,"Solar.R",220
7,21,74,6.9,"Ozone",16
7,21,74,6.9,"Solar.R",7
7,22,81,9.7,"Solar.R",258
7,23,82,11.5,"Solar.R",295
7,24,86,8.6,"Ozone",80
7,24,86,8.6,"Solar.R",294
7,25,85,8,"Ozone",108
7,25,85,8,"Solar.R",223
7,26,82,8.6,"Ozone",20
7,26,82,8.6,"Solar.R",81
7,27,86,12,"Ozone",52
7,27,86,12,"Solar.R",82
7,28,88,7.4,"Ozone",82
7,28,88,7.4,"Solar.R",213
7,29,86,7.4,"Ozone",50
7,29,86,7.4,"Solar.R",275
7,30,83,7.4,"Ozone",64
7,30,83,7.4,"Solar.R",253
7,31,81,9.2,"Ozone",59
7,31,81,9.2,"Solar.R",254
8,1,81,6.9,"Ozone",39
8,1,81,6.9,"Solar.R",83
8,2,81,13.8,"Ozone",9
8,2,81,13.8,"Solar.R",24
8,3,82,7.4,"Ozone",16
8,3,82,7.4,"Solar.R",77
8,4,86,6.9,"Ozone",78
8,5,85,7.4,"Ozone",35
8,6,87,4.6,"Ozone",66
8,7,89,4,"Ozone",122
8,7,89,4,"Solar.R",255
8,8,90,10.3,"Ozone",89
8,8,90,10.3,"Solar.R",229
8,9,90,8,"Ozone",110
8,9,90,8,"Solar.R",207
8,10,92,8.6,"Solar.R",222
8,11,86,11.5,"Solar.R",137
8,12,86,11.5,"Ozone",44
8,12,86,11.5,"Solar.R",192
8,13,82,11.5,"Ozone",28
8,13,82,11.5,"Solar.R",273
8,14,80,9.7,"Ozone",65
8,14,80,9.7,"Solar.R",157
8,15,79,11.5,"Solar.R",64
8,16,77,10.3,"Ozone",22
8,16,77,10.3,"Solar.R",71
8,17,79,6.3,"Ozone",59
8,17,79,6.3,"Solar.R",51
8,18,76,7.4,"Ozone",23
8,18,76,7.4,"Solar.R",115
8,19,78,10.9,"Ozone",31
8,19,78,10.9,"Solar.R",244
8,20,78,10.3,"Ozone",44
8,20,78,10.3,"Solar.R",190
8,21,77,15.5,"Ozone",21
8,21,77,15.5,"Solar.R",259
8,22,72,14.3,"Ozone",9
8,22,72,14.3,"Solar.R",36
8,23,75,12.6,"Solar.R",255
8,24,79,9.7,"Ozone",45
8,24,79,9.7,"Solar.R",212
8,25,81,3.4,"Ozone",168
8,25,81,3.4,"Solar.R",238
8,26,86,8,"Ozone",73
8,26,86,8,"Solar.R",215
8,27,88,5.7,"Solar.R",153
8,28,97,9.7,"Ozone",76
8,28,97,9.7,"Solar.R",203
8,29,94,2.3,"Ozone",118
8,29,94,2.3,"Solar.R",225
8,30,96,6.3,"Ozone",84
8,30,96,6.3,"Solar.R",237
8,31,94,6.3,"Ozone",85
8,31,94,6.3,"Solar.R",188
9,1,91,6.9,"Ozone",96
9,1,91,6.9,"Solar.R",167
9,2,92,5.1,"Ozone",78
9,2,92,5.1,"Solar.R",197
9,3,93,2.8,"Ozone",73
9,3,93,2.8,"Solar.R",183
9,4,93,4.6,"Ozone",91
9,4,93,4.6,"Solar.R",189
9,5,87,7.4,"Ozone",47
9,5,87,7.4,"Solar.R",95
9,6,84,15.5,"Ozone",32
9,6,84,15.5,"Solar.R",92
9,7,80,10.9,"Ozone",20
9,7,80,10.9,"Solar.R",252
9,8,78,10.3,"Ozone",23
9,8,78,10.3,"Solar.R",220
9,9,75,10.9,"Ozone",21
9,9,75,10.9,"Solar.R",230
9,10,73,9.7,"Ozone",24
9,10,73,9.7,"Solar.R",259
9,11,81,14.9,"Ozone",44
9,11,81,14.9,"Solar.R",236
9,12,76,15.5,"Ozone",21
9,12,76,15.5,"Solar.R",259
9,13,77,6.3,"Ozone",28
9,13,77,6.3,"Solar.R",238
9,14,71,10.9,"Ozone",9
9,14,71,10.9,"Solar.R",24
9,15,71,11.5,"Ozone",13
9,15,71,11.5,"Solar.R",112
9,16,78,6.9,"Ozone",46
9,16,78,6.9,"Solar.R",237
9,17,67,13.8,"Ozone",18
9,17,67,13.8,"Solar.R",224
9,18,76,10.3,"Ozone",13
9,18,76,10.3,"Solar.R",27
9,19,68,10.3,"Ozone",24
9,19,68,10.3,"Solar.R",238
9,20,82,8,"Ozone",16
9,20,82,8,"Solar.R",201
9,21,64,12.6,"Ozone",13
9,21,64,12.6,"Solar.R",238
9,22,71,9.2,"Ozone",23
9,22,71,9.2,"Solar.R",14
9,23,81,10.3,"Ozone",36
9,23,81,10.3,"Solar.R",139
9,24,69,10.3,"Ozone",7
9,24,69,10.3,"Solar.R",49
9,25,63,16.6,"Ozone",14
9,25,63,16.6,"Solar.R",20
9,26,70,6.9,"Ozone",30
9,26,70,6.9,"Solar.R",193
9,27,77,13.2,"Solar.R",145
9,28,75,14.3,"Ozone",14
9,28,75,14.3,"Solar.R",191
9,29,76,8,"Ozone",18
9,29,76,8,"Solar.R",131
9,30,68,11.5,"Ozone",20
9,30,68,11.5,"Solar.R",223
